service_structure_id,service_set,structure_set,relevance
1,语音信号处理,语音识别模块,依赖
2,障碍物检测,红外测距传感器,依赖
3,生理信息监测,温度传感器,依赖
4,生理信息监测,湿度传感器,依赖
5,修理检测,24V直流稳压电源,依赖
6,修理检测,36V直流稳压电源,依赖
7,修理检测,直流无刷轮毂电机,依赖
8,修理检测,电动推杆,依赖
9,修理检测,抬背机构,依赖
10,修理检测,翻身机构,依赖
11,修理检测,抬腿机构,依赖
12,修理检测,床椅分离机构,依赖
13,修理检测,防侧滑机构,依赖
14,更换检测,可调稳压模块,依赖
15,更换检测,直流无刷伺服驱动器,依赖
16,更换检测,蓝牙通讯模块,依赖
17,更换检测,温度传感器,依赖
18,更换检测,湿度传感器,依赖
19,更换检测,语音识别模块,依赖
20,更换检测,红外测距传感器,依赖
21,更换检测,麦克风,依赖
22,更换检测,音响,依赖
23,更换检测,床板,依赖
24,更换检测,背板,依赖
25,更换检测,腿板,依赖
26,更换检测,LED灯,依赖
27,升级检测,STM32主控芯片,依赖
28,升级检测,STM32中继芯片,依赖
29,升级检测,上位计算机,依赖
30,升级检测,语音识别模块,依赖
31,电机启动自检,直流无刷轮毂电机,依赖
32,电机启动自检,直流无刷伺服驱动器,依赖
33,芯片启动自检,STM32主控芯片,依赖
34,芯片启动自检,STM32中继芯片,依赖
35,传感器调校,温度传感器,依赖
36,传感器调校,湿度传感器,依赖
37,传感器调校,语音识别模块,依赖
38,传感器调校,红外测距传感器,依赖
39,紧急呼救服务,上位计算机,依赖
40,远程通信服务,上位计算机,依赖
